,use
2016-01-01 13:09:58,2.310316667
2016-01-01 14:24:58,3.39335
2016-01-01 14:33:58,2.941366667
2016-01-01 15:00:58,1.162783333
2016-01-01 15:38:58,2.803166667
2016-01-01 15:40:58,0.962933333
2016-01-01 16:42:58,2.63395
2016-01-01 16:52:58,4.553516667
2016-01-01 16:55:58,5.423316667
2016-01-01 17:04:58,2.0612
2016-01-01 17:05:58,0.7823
2016-01-01 17:11:58,4.281116667
2016-01-01 17:14:58,5.01355
2016-01-01 17:16:58,1.85105
2016-01-01 17:25:58,2.3629
2016-01-01 17:26:58,3.791416667
2016-01-01 17:30:58,1.148166667
2016-01-01 17:36:58,3.286
2016-01-01 17:44:58,1.511433333
2016-01-01 18:19:58,1.01375
2016-01-01 18:49:58,0.573383333
2016-01-01 19:06:58,0.615583333
2016-01-01 19:11:58,1.0156
2016-01-01 19:36:58,2.348583333
2016-01-01 21:04:58,3.294233333
2016-01-01 21:05:58,1.975366667
2016-01-01 21:18:58,7.365633333
2016-01-01 21:19:58,1.882033333
2016-01-01 21:55:58,2.9538
2016-01-01 22:49:58,3.620566667
2016-01-01 22:50:58,4.912933333
2016-01-01 23:00:58,5.224966667
2016-01-01 23:04:58,1.87485
2016-01-01 23:05:58,3.425833333
2016-01-01 23:18:58,2.53895
2016-01-01 23:23:58,2.680583333
2016-01-01 23:29:58,1.344633333
2016-01-01 23:32:58,3.842166667
2016-01-01 23:35:58,3.457433333
2016-01-01 23:36:58,2.052383333
2016-01-01 23:39:58,4.889733333
2016-01-01 23:40:58,3.753416667
2016-01-01 23:45:58,2.037616667
2016-01-02 00:27:58,3.19455
2016-01-02 00:29:58,3.523516667
2016-01-02 03:29:58,2.189366667
2016-01-02 03:50:58,3.127216667
2016-01-02 04:17:58,2.54875
2016-01-02 04:49:58,2.37025
2016-01-02 13:48:58,0.3875
2016-01-02 17:59:58,0.745933333
2016-01-02 18:23:58,3.633816667
2016-01-02 18:25:58,0.987666667
2016-01-02 18:34:58,6.914733333
2016-01-02 18:35:58,3.731433333
2016-01-02 18:36:58,1.6702
2016-01-02 18:39:58,5.388933333
2016-01-02 18:40:58,2.713933333
2016-01-02 18:41:58,0.9722
2016-01-02 18:48:58,3.22905
2016-01-02 19:07:58,3.1354
2016-01-02 19:08:58,7.09425
2016-01-02 19:09:58,1.788766667
2016-01-02 20:10:58,4.302633333
2016-01-02 20:12:58,2.724983333
2016-01-02 20:36:58,3.330416667
2016-01-02 20:44:58,4.282766667
2016-01-02 20:45:58,6.401366667
2016-01-02 20:46:58,1.84665
2016-01-02 20:47:58,2.1986
2016-01-02 21:02:58,3.751766667
2016-01-02 21:24:58,3.421916667
2016-01-02 21:27:58,2.371216667
2016-01-02 21:36:58,3.181266667
2016-01-02 21:41:58,1.801366667
2016-01-02 21:42:58,3.197933333
2016-01-02 21:51:58,1.660466667
2016-01-02 21:52:58,3.911683333
2016-01-02 21:56:58,1.98185
2016-01-02 22:09:58,1.8311
2016-01-02 22:18:58,4.037966667
2016-01-02 22:22:58,1.960016667
2016-01-02 22:32:58,3.627683333
2016-01-02 22:36:58,2.297116667
2016-01-02 22:45:58,3.24545
2016-01-02 22:49:58,4.904016667
2016-01-02 22:52:58,5.483716667
2016-01-02 23:02:58,4.155216667
2016-01-02 23:07:58,3.804816667
2016-01-02 23:14:58,1.501783333
2016-01-02 23:16:58,3.54135
2016-01-02 23:18:58,2.290233333
2016-01-02 23:19:58,0.953066667
2016-01-02 23:20:58,3.10285
