,use
2016-01-01 21:18:58,7.365633333
2016-01-01 21:19:58,1.882033333
2016-01-02 18:34:58,6.914733333
2016-01-02 18:35:58,3.731433333
2016-01-02 18:39:58,5.388933333
2016-01-02 19:08:58,7.09425
2016-01-02 19:09:58,1.788766667
2016-01-02 20:46:58,1.84665
2016-01-03 15:32:58,5.19115
2016-01-03 15:50:58,4.71615
2016-01-08 18:29:58,7.378916667
2016-01-08 18:30:58,4.504966667
2016-01-08 19:47:58,5.7832
2016-01-10 13:34:58,4.20575
2016-01-14 15:07:58,5.82955
2016-01-14 15:08:58,1.478816667
2016-01-23 15:19:58,7.854933333
2016-01-23 15:20:58,3.46195
2016-01-24 20:36:58,1.9927
2016-01-24 20:41:58,7.203966667
2016-01-24 20:42:58,1.936483333
2016-01-24 20:49:58,1.97485
2016-01-24 20:51:58,7.108733333
2016-01-24 20:52:58,3.328333333
2016-01-24 20:58:58,6.658733333
2016-01-24 20:59:58,1.808666667
2016-01-24 21:14:58,1.869583333
2016-01-26 20:25:58,4.181183333
2016-01-26 21:03:58,7.023683333
2016-01-26 21:04:58,3.30745
2016-01-26 22:00:58,7.1036
2016-01-26 22:01:58,3.3507
2016-01-26 22:03:58,6.82215
2016-01-26 22:04:58,3.763716667
2016-01-26 22:09:58,5.809833333
2016-01-26 22:10:58,1.216383333
2016-01-28 00:00:58,2.37925
2016-02-08 00:56:58,1.093216667
2016-02-08 21:43:58,5.87255
2016-02-09 20:49:58,7.5218
2016-02-09 20:51:58,1.839233333
2016-02-15 22:46:58,5.98865
2016-02-18 04:38:58,6.361416667
2016-02-18 04:39:58,1.006683333
2016-02-20 15:17:58,6.928383333
2016-02-20 15:18:58,1.192966667
2016-02-20 19:44:58,5.13135
2016-02-20 19:45:58,0.6537
2016-02-20 20:30:58,6.614266667
2016-02-20 20:32:58,0.9251
2016-02-20 20:44:58,4.2044
2016-02-20 20:46:58,2.398533333
2016-02-20 20:49:58,3.69165
2016-02-20 20:51:58,1.024883333
2016-02-20 20:58:58,5.852
2016-02-20 20:59:58,3.17175
2016-02-20 21:02:58,5.990216667
2016-02-20 21:03:58,1.5926
2016-02-20 21:11:58,1.0649
2016-02-20 21:13:58,5.356483333
2016-02-21 15:59:58,3.661633333
2016-02-21 16:01:58,1.161183333
2016-02-21 16:09:58,5.765366667
2016-02-22 23:20:58,5.4206
2016-02-24 09:00:58,4.834816667
2016-02-26 23:47:58,6.106516667
2016-02-27 19:45:58,6.47815
2016-02-27 19:46:58,1.463733333
2016-02-29 22:08:58,4.402883333
2016-03-07 22:15:58,2.00285
2016-03-07 22:18:58,4.7391
2016-03-13 14:04:58,5.239816667
2016-03-13 17:12:58,3.777766667
2016-03-26 17:00:58,0.303133333
